datetime,portfolio_value,cash,positions,return
2024-01-29 09:30:00-05:00,91639.2834777832,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-30 09:30:00-05:00,90210.14025878906,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-0.01559531201856923
2024-01-31 09:30:00-05:00,91189.84149169922,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.010860211835383993
2024-02-01 09:30:00-05:00,93204.7865600586,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.022096157153017826
2024-02-02 09:30:00-05:00,90669.6921081543,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-0.02719918735365323
2024-02-03 09:30:00-05:00,88940.5700653076,140843.46941833495,"[{'asset': USD, 'quantity': 140843.46941833495}, {'asset': SPY, 'quantity': -106.0}]",-0.019070562639433297
2024-02-03 09:29:00-05:00,88940.5700653076,140843.46941833495,"[{'asset': USD, 'quantity': 140843.46941833495}, {'asset': SPY, 'quantity': -106.0}]",0.0
2024-02-05 08:30:00-05:00,88511.26812438964,140843.46941833495,"[{'asset': USD, 'quantity': 140843.46941833495}, {'asset': SPY, 'quantity': -106.0}]",-0.004826840446409797
2024-02-05 09:30:00-05:00,88511.26812438964,140843.46941833495,"[{'asset': USD, 'quantity': 140843.46941833495}, {'asset': SPY, 'quantity': -106.0}]",0.0
2024-02-05 09:30:00-05:00,88511.26812438964,140843.46941833495,"[{'asset': USD, 'quantity': 140843.46941833495}, {'asset': SPY, 'quantity': -106.0}]",0.0
2024-02-06 09:30:00-05:00,88530.35058288573,140843.46941833495,"[{'asset': USD, 'quantity': 140843.46941833495}, {'asset': SPY, 'quantity': -106.0}]",0.00021559354984357348
2024-02-07 09:30:00-05:00,88236.72851257323,140843.46941833495,"[{'asset': USD, 'quantity': 140843.46941833495}, {'asset': SPY, 'quantity': -106.0}]",-0.0033166260878815246
2024-02-08 09:30:00-05:00,88102.85304870605,88102.85304870605,"[{'asset': USD, 'quantity': 88102.85304870605}]",-0.0015172305923389917
2024-02-09 09:30:00-05:00,88102.85304870605,88102.85304870605,"[{'asset': USD, 'quantity': 88102.85304870605}]",0.0
2024-02-10 09:30:00-05:00,88102.85304870605,88102.85304870605,"[{'asset': USD, 'quantity': 88102.85304870605}]",0.0
2024-02-10 09:29:00-05:00,88102.85304870605,88102.85304870605,"[{'asset': USD, 'quantity': 88102.85304870605}]",0.0
2024-02-12 08:30:00-05:00,88102.85304870605,88102.85304870605,"[{'asset': USD, 'quantity': 88102.85304870605}]",0.0
2024-02-12 09:30:00-05:00,88102.85304870605,88102.85304870605,"[{'asset': USD, 'quantity': 88102.85304870605}]",0.0
2024-02-12 09:30:00-05:00,88102.85304870605,88102.85304870605,"[{'asset': USD, 'quantity': 88102.85304870605}]",0.0
2024-02-13 09:30:00-05:00,87518.53175964355,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",-0.006632262961330793
2024-02-14 09:30:00-05:00,87717.41261901855,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0022724428229805582
2024-02-15 09:30:00-05:00,87937.41261901855,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0025080539134860746
2024-02-16 09:30:00-05:00,88149.49294128417,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.002411718925418471
2024-02-17 09:30:00-05:00,88149.49294128417,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0
2024-02-17 09:29:00-05:00,88149.49294128417,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0
2024-02-20 08:30:00-05:00,87799.2519744873,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",-0.003973261275934559
2024-02-20 09:30:00-05:00,87799.2519744873,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0
2024-02-20 09:30:00-05:00,87799.2519744873,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0
2024-02-21 09:30:00-05:00,87596.85304870605,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",-0.0023052465850171844
2024-02-22 09:30:00-05:00,88352.77272644042,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.008629530073575475
2024-02-23 09:30:00-05:00,88815.65090026855,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.005238977335338291
2024-02-24 09:30:00-05:00,88815.65090026855,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0
2024-02-24 09:29:00-05:00,88815.65090026855,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0
2024-02-26 08:30:00-05:00,88730.29079284667,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",-0.0009610930793911843
2024-02-26 09:30:00-05:00,88730.29079284667,43999.891867065424,"[{'asset': USD, 'quantity': 43999.891867065424}, {'asset': SPY, 'quantity': 88.0}]",0.0
